Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
2,0,1,0,0,1,5,1,230,0,210,1,4,7,26,1,0,2,13,2238
1,0,3,1,2,2,5,1,114,2,9,0,3,9,38,5,0,2,9,1892
2,1,0,2,3,0,4,0,138,1,2472,3,1,14,47,6,1,2,5,2595
2,1,0,3,3,2,5,2,157,2,74,2,3,20,5,7,1,6,1,1074
1,0,3,0,0,0,0,1,266,3,8457,1,1,3,5,6,2,10,6,4743
2,1,3,1,3,1,5,2,144,0,658,1,1,22,18,9,1,3,12,1647
3,0,2,1,3,0,2,0,56,2,5363,2,4,9,11,19,1,15,0,1832
3,0,2,2,0,2,5,2,59,3,54,0,3,5,39,15,0,7,9,2322
2,1,0,0,3,1,5,0,200,0,1376,2,3,3,31,15,2,1,1,2494
3,0,1,0,3,1,5,1,135,2,440,0,1,8,23,18,1,1,1,1178
0,0,3,2,3,1,5,0,146,1,1561,0,4,12,27,21,0,9,9,1427
1,1,3,2,0,2,5,0,111,3,69,2,5,9,4,4,1,15,12,3226
3,0,0,3,0,2,5,1,114,2,92,1,3,18,27,4,2,14,14,1593
3,0,2,1,1,0,3,2,111,2,2893,1,6,13,16,10,1,11,11,1732
1,1,1,1,2,1,5,1,123,2,1989,3,6,13,23,8,0,8,13,1743
2,0,3,1,1,1,5,0,225,3,692,3,6,9,24,15,0,6,13,2101
0,1,1,2,1,2,5,1,219,0,7,0,4,23,42,14,1,15,4,2609
2,0,1,0,3,1,5,1,104,2,948,1,6,1,6,22,2,10,7,1565
3,1,2,2,1,0,4,1,126,3,7622,2,2,6,37,9,1,15,14,5272
0,0,0,2,3,2,5,1,288,1,51,3,4,15,22,6,0,3,13,1220
0,1,2,3,1,0,1,1,282,2,2237,1,6,0,8,5,0,11,3,1300
1,0,1,1,3,1,5,0,69,2,1804,1,1,6,3,7,0,2,12,1024
2,1,0,3,3,2,5,2,110,1,85,3,3,14,4,3,1,6,11,706
1,1,3,0,0,0,0,1,165,0,472,3,4,17,24,20,2,4,2,2582
2,1,2,0,0,0,0,2,62,3,5737,2,1,5,20,20,2,5,0,4284
1,0,1,1,1,2,5,2,94,2,88,2,6,17,0,3,1,8,11,807
3,0,2,0,1,1,5,1,259,0,558,1,4,4,50,23,1,2,3,1991
1,1,3,1,1,1,5,2,67,2,752,1,3,14,37,14,1,14,14,1817
1,1,1,0,3,2,5,0,130,2,71,3,2,10,15,10,0,1,3,1490
3,0,0,1,1,1,5,0,258,0,1028,3,2,13,44,4,2,0,4,1561
1,0,2,2,3,1,5,2,189,0,1527,2,4,23,34,10,2,0,1,2202
3,0,3,0,0,2,5,2,262,0,88,1,5,24,8,15,1,15,1,2024
0,0,1,0,2,2,5,0,157,0,73,2,4,1,42,22,0,3,11,1659
0,0,1,0,3,0,3,1,280,3,8320,3,5,9,0,4,1,5,10,3911
0,1,3,3,0,2,5,2,121,1,72,2,6,11,4,10,2,0,8,1204
3,0,2,1,0,2,5,1,174,3,9,1,2,1,40,15,2,7,9,2431
1,1,3,0,1,2,5,2,173,0,60,2,2,16,14,20,1,12,15,1640
3,1,2,3,2,2,5,2,199,0,13,2,5,17,6,15,0,3,11,1648
3,1,0,1,3,2,5,0,94,2,32,3,6,15,5,17,1,0,1,1002
3,0,1,1,0,2,5,0,64,0,49,3,1,19,47,16,2,12,11,1771
2,0,0,3,1,1,5,0,100,3,1351,0,1,20,24,5,2,7,8,2028
0,0,3,2,0,1,5,1,240,3,1726,2,2,15,19,5,0,0,13,2540
3,0,0,0,1,1,5,2,245,1,1021,2,7,14,48,10,0,3,10,1386
0,0,1,0,0,2,5,2,270,2,62,3,5,22,21,11,1,14,11,1679
2,1,0,0,3,0,1,1,294,3,9488,3,5,16,20,18,2,1,15,3141
